3.790000 1 -0.890453 -0.364835 2.892378 0.042234 -0.970231 -0.238469 0.313095 0.239512 -0.919024 0.948782 -0.035850 0.313890
3.790000 1 -0.883668 -0.540524 2.851804 0.029720 -0.979008 -0.201646 0.314530 0.200647 -0.927799 0.948782 -0.035850 0.313890
3.790000 1 -0.879383 -0.681751 2.822721 0.084807 -0.988049 -0.128714 0.404415 0.152193 -0.901823 0.910635 0.024427 0.412489
3.790000 1 -0.861146 -0.898852 2.795317 0.148370 -0.951010 -0.271233 0.385656 0.308195 -0.869647 0.910635 0.024427 0.412489
3.790000 1 -0.833523 -0.862603 2.814825 0.909677 0.309306 0.277161 0.219970 0.207238 -0.953240 -0.352281 0.928107 0.120482
3.790000 1 -0.701999 -0.817883 2.854898 0.037109 0.897377 0.439701 -0.143783 0.440221 -0.886302 -0.988913 -0.030332 0.145364
3.790000 1 -0.691627 -0.567070 2.977792 -0.142614 -0.078765 -0.986639 0.041376 -0.996432 0.073566 -0.988913 -0.030332 0.145364
3.790000 1 -0.725082 -0.585547 2.746344 -0.887843 -0.277116 -0.367344 0.459120 -0.586792 -0.666996 -0.030719 -0.760843 0.648208
3.790000 1 -0.807743 -0.620427 2.708454 0.679483 0.459720 0.571804 -0.733048 0.458012 0.502858 -0.030719 -0.760843 0.648208
3.790000 1 -0.733485 -0.570185 2.770945 0.679483 0.459720 0.571804 -0.733048 0.458012 0.502858 -0.030719 -0.760843 0.648208
3.790000 1 -0.825170 -0.591152 2.674819 -0.552191 0.259334 -0.792358 -0.203945 -0.963534 -0.173231 -0.808389 0.065941 0.584944
3.790000 1 -0.895554 -0.863669 2.786827 0.790565 -0.202344 0.577983 -0.611781 -0.219271 0.760030 -0.027052 -0.954451 -0.297138
3.790000 1 -1.000707 -0.836755 2.709949 0.007181 -0.988976 0.147902 -0.944141 -0.055436 -0.324846 0.329464 -0.137308 -0.934130
3.790000 1 -1.002752 -0.555111 2.667829 -0.939557 0.049982 -0.338725 0.093199 0.989267 -0.112541 0.329464 -0.137308 -0.934131
3.790000 1 -0.779558 -0.566985 2.748294 -0.322366 0.924736 -0.202344 0.884455 0.370418 0.283778 0.337372 -0.087484 -0.937298
3.790000 1 -0.753990 -0.665770 2.772460 -0.202138 -0.979180 0.018635 -0.919413 0.183176 -0.348032 0.337372 -0.087484 -0.937297
3.790000 1 -0.732276 -0.560585 2.770459 -0.202138 -0.979180 0.018635 -0.919413 0.183176 -0.348032 0.337372 -0.087484 -0.937297
3.790000 1 -0.723202 -0.656606 2.739671 -0.432575 0.662431 0.611608 0.508175 0.739479 -0.441508 -0.744739 0.119818 -0.656511
3.790000 1 -0.802954 -0.368141 2.921325 -0.059133 -0.977624 -0.201877 0.384589 0.164309 -0.908347 0.921192 -0.131353 0.366267
3.790000 1 -0.779011 0.027702 3.003066 0.052462 -0.890926 -0.451109 0.385542 0.434777 -0.813834 0.921198 -0.131226 0.366299
3.790000 1 -0.799312 0.372457 3.177628 -0.051500 -0.981950 -0.181993 0.312086 0.157284 -0.936944 0.948657 -0.105050 0.298353
3.790000 1 -0.746152 0.508546 3.056984 0.322454 0.149664 -0.934678 0.053608 0.982949 0.175888 0.945066 -0.106823 0.308933
3.790000 1 -0.969355 -0.361853 2.866274 -0.125187 0.975030 0.183425 -0.107594 -0.197131 0.974455 0.986282 0.102254 0.129585
3.790000 1 -1.019989 0.032514 2.940464 -0.138354 0.939459 0.313487 -0.089722 -0.327119 0.940714 0.986310 0.102024 0.129549
3.790000 1 -1.074090 0.399874 3.063047 -0.078085 0.996613 -0.025774 -0.218507 0.008116 0.975801 0.972706 0.081827 0.217134
3.790000 1 -1.052230 0.502543 2.923865 -0.207706 0.017177 0.978040 0.076398 -0.996507 0.033726 0.975203 0.081726 0.205668
3.790000 1 -0.848888 -0.977424 2.772908 0.259242 -0.900694 -0.348631 0.466586 0.432850 -0.771322 0.845630 0.037292 0.532465
3.790000 1 -0.767962 -0.957925 2.633321 0.259242 -0.900694 -0.348631 0.466586 0.432850 -0.771322 0.845630 0.037292 0.532465
3.790000 1 -0.755357 -1.003603 2.664297 0.466586 0.432850 -0.771322 -0.259242 0.900694 0.348631 0.845630 0.037293 0.532465
3.790000 1 -0.760285 -1.033325 2.788925 -0.259242 0.900694 0.348631 -0.466586 -0.432850 0.771322 0.845630 0.037292 0.532465
3.790000 1 -0.799539 -0.999594 2.635518 0.466586 0.432850 -0.771322 -0.259242 0.900694 0.348631 0.845630 0.037293 0.532465
3.790000 1 -0.905678 -1.037467 2.705236 0.259242 -0.900694 -0.348631 0.466586 0.432850 -0.771322 0.845630 0.037292 0.532465
3.790000 2 0.615271 -0.157906 2.519660 0.140736 -0.955656 -0.258679 -0.183273 0.231616 -0.955387 0.972936 0.181866 -0.142550
3.790000 2 0.642894 -0.342596 2.472566 0.168414 -0.980482 -0.101447 -0.158217 0.074695 -0.984575 0.972936 0.181866 -0.142549
3.790000 2 0.668826 -0.493559 2.456954 0.159118 -0.986848 -0.028516 -0.327180 -0.025458 -0.944619 0.931469 0.159636 -0.326928
3.790000 2 0.706450 -0.724817 2.451230 0.104765 -0.978225 -0.179166 -0.348410 0.132637 -0.927910 0.931469 0.159636 -0.326928
3.790000 2 0.734543 -0.681082 2.441343 0.935477 0.192618 -0.296280 -0.317806 0.091910 -0.943691 -0.154541 0.976960 0.147195
3.790000 2 0.878905 -0.651357 2.395622 0.508557 0.856237 0.090706 -0.800971 0.509107 -0.315047 -0.315934 0.087567 0.944731
3.790000 2 1.030615 -0.395929 2.422680 -0.621198 0.733543 -0.275731 -0.717146 -0.673978 -0.177355 -0.315934 0.087567 0.944731
3.790000 2 0.875080 -0.212265 2.353643 -0.772819 0.392416 0.498758 -0.515909 0.069206 -0.853844 -0.369579 -0.917180 0.148968
3.790000 2 0.789020 -0.175495 2.398888 -0.903587 0.392124 0.172535 -0.216659 -0.070840 -0.973674 -0.369579 -0.917180 0.148967
3.790000 2 0.683620 -0.129756 2.419013 -0.903587 0.392124 0.172535 -0.216659 -0.070840 -0.973674 -0.369579 -0.917180 0.148967
3.790000 2 0.742427 -0.184826 2.405589 -0.869226 0.470420 0.152155 -0.491244 -0.856535 -0.158199 0.055906 -0.212255 0.975614
3.790000 2 0.666774 -0.692043 2.465110 0.903879 0.082712 -0.419716 0.425804 -0.079550 0.901312 0.041161 -0.993393 -0.107123
3.790000 2 0.538453 -0.703785 2.524696 0.281292 -0.869897 -0.405160 0.108661 -0.390618 0.914117 -0.953450 -0.301159 -0.015354
3.790000 2 0.452951 -0.439372 2.647848 0.298906 -0.950592 0.083845 -0.039846 0.075353 0.996360 -0.953450 -0.301159 -0.015354
